Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km
Abetima,6.3066075,-0.1077068,221.0,412.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,11.42,0.95,36.030850426969785
Abeyee,5.1438159,-1.4792578,45.0,1490.0,WorldPop_2020,village/town/hamlet,Kissi Health Centre,Hospital,5.0871197,-1.5060483,6.97,0.68,159.94259373878123
Abi,7.4696208,-2.6380881,342.0,447.0,WorldPop_2020,village/town/hamlet,Dr. Larbi Clinic,Hospital,7.4438905,-2.5935659,5.68,0.63,143.406392642679
Abiadi Eshiem,5.4287555,-0.8718567,34.0,1191.0,WorldPop_2020,village/town/hamlet,GHS,Clinic,5.3833164,-0.9250126,7.76,0.92,97.71112805958467
Abidjan,6.9441491,-2.7859784,231.0,666.0,WorldPop_2020,village/town/hamlet,Ahmadiyya,Clinic,6.8940491,-2.5651706,25.0,0.53,90.6402530520376
Abira,6.7715525,-1.4937285,303.0,1370.0,WorldPop_2020,village/town/hamlet,George & Angelina,Clinic,6.7433264,-1.458069,5.04,0.81,33.49935874806998
Abiram,6.3852945,-1.9719586,185.0,1249.0,WorldPop_2020,village/town/hamlet,Eno Serwaah pharmacy,Pharmacy,6.2901832,-1.9712874,10.58,0.92,61.00868713229372
Abirem,6.3016964,-1.0066223,145.0,2558.0,WorldPop_2020,village/town/hamlet,Tiawiah CHPS Compound,Clinic,6.4138806,-0.8676785,19.78,0.91,62.97619202915949
Abirem,6.7450111,-1.5511494,294.0,3376.0,WorldPop_2020,village/town/hamlet,Garden City Hospital,Hospital,6.7114132,-1.56792,4.17,0.53,38.81506713183494
Abirikasu,7.4912913,-2.8333578,269.0,2200.0,WorldPop_2020,village/town/hamlet,Nkyenkyemam CHPS Compound,Clinic,7.4817648,-2.7851598,5.42,0.81,149.84095449573684
Abiriw,5.9795454,-0.0891667,467.0,11096.0,GeoNames/OSM,village/town/hamlet,Daniel A. Tetteh ( Awokye Drug Store),Pharmacy,6.0164575,-0.0778634,4.29,0.81,46.59374838070565
Abisu,6.6532504,-0.5436516,253.0,259.0,WorldPop_2020,village/town/hamlet,st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393,13.54,0.83,50.97847670917564
Abisu,7.539309,-2.3917928,256.0,821.0,Imputed,village/town/hamlet,Dagadu CHPS Compound,Health_Post,7.6114215,-2.3864246,8.04,0.53,123.37742136924193
Abisu No.1,6.6256624,-0.5685934,342.0,288.0,WorldPop_2020,village/town/hamlet,st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393,11.17,0.83,48.6949444625602
Abisu No.2,6.6202166,-0.5598199,312.0,235.0,WorldPop_2020,village/town/hamlet,st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393,12.27,0.83,47.85269996850238
Abladjei,5.7100153,-0.2057269,60.0,8809.0,WorldPop_2020,suburb,Medcare Plus Clinic,Clinic,5.7130107,-0.2057906,0.33,0.81,60.64198357298935
Ablekuma,5.6279342,-0.3135003,41.0,10542.0,WorldPop_2020,village/town/hamlet,Novomed,Pharmacy,5.6227053,-0.3018546,1.41,0.82,65.23743268030526
Ablekuma Newtown,5.6373022,-0.3137724,35.0,9749.0,WorldPop_2020,suburb,ODUMAN POLYCLINIC,Hospital,5.6421114,-0.3306611,1.94,0.53,64.22160252286788
Ablornu,6.3497457,0.6375725,50.0,515.0,WorldPop_2020,village/town/hamlet,Adaklu Ablornu CHPs Compound,CHPS,6.3488205,0.6367137,0.14,0.67,54.749726323519
Aboabo,5.6557442,-1.6210359,97.0,1288.0,WorldPop_2020,village/town/hamlet,Mmaa Baasa CHPS Compound,Clinic,5.6520981,-1.5721956,5.42,0.92,111.92991309514431
Aboabo,5.9337346,-0.9513381,137.0,9792.0,WorldPop_2020,village/town/hamlet,Oda Government Hospital,Hospital,5.9284588,-0.9857572,3.85,0.53,63.337216231858044
Aboabo,6.1185735,-0.2350455,209.0,4522.0,WorldPop_2020,village/town/hamlet,Aboabo Drug Store,Pharmacy,6.1177538,-0.2347289,0.1,0.81,25.15440366931297
Aboabo,6.2097883,-1.3608106,173.0,949.0,WorldPop_2020,village/town/hamlet,SDA Hospital,Hospital,6.19789,-1.63915,30.8,0.81,93.4557991076616
Aboabo,6.3667325,-1.6698575,188.0,674.0,WorldPop_2020,village/town/hamlet,Bekwai Matenity,Hospital,6.4551686,-1.5786467,14.08,0.63,82.30129328395581
Aboabo,6.4467378,-2.3559167,265.0,376.0,WorldPop_2020,village/town/hamlet,Bibiani Government Hospital,Hospital,6.4564802,-2.3230746,3.79,0.63,32.55074840522468
Aboabo,6.5862346,-0.4380128,445.0,262.0,WorldPop_2020,village/town/hamlet,Asaaseboma CHPs Compound,Health_Post,6.7453453,-0.3607664,19.64,0.67,42.424015191820935
Aboabo,6.6989717,-1.5978764,271.0,90485.0,WorldPop_2020,suburb,Nako,Pharmacy,6.7003567,-1.5949466,0.36,0.81,45.791547291077315
Aboabo Camp,5.5684236,-1.3855607,129.0,352.0,WorldPop_2020,village/town/hamlet,Drug Store,Pharmacy,5.6085744,-1.5371472,17.36,0.92,125.46029951835881
Aboabo No.1,5.9372674,-0.2361631,96.0,997.0,WorldPop_2020,village/town/hamlet,Tetteh Quarshie Hospital,Hospital,5.9216374,-0.1323741,11.61,0.53,37.44628521536019
Aboabo No.2,5.9370647,-0.2412701,91.0,994.0,WorldPop_2020,village/town/hamlet,Tetteh Quarshie Hospital,Hospital,5.9216374,-0.1323741,12.17,0.53,37.115644291316926
Aboabo No.2,6.2217537,-1.3549957,182.0,2111.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,30.29,0.53,92.15444424460212
Aboabo No.2,7.2090449,-2.8078846,298.0,4261.0,WorldPop_2020,village/town/hamlet,Mw,Clinic,7.2206418,-2.6417699,18.37,0.81,119.07507146245688
Aboabo No.4,7.1976708,-2.8072959,281.0,3493.0,WorldPop_2020,village/town/hamlet,Mw,Clinic,7.2206418,-2.6417699,18.44,0.81,117.85624246665063
Aboabo Odumase,5.9955856,-0.3992093,129.0,624.0,WorldPop_2020,village/town/hamlet,Suhum Hospital,Hospital,6.0380137,-0.4446668,6.89,0.63,23.4873380765636
Aboabo Tetekaso,6.5689859,-1.9049066,268.0,1144.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.6599097,-1.8423071,12.25,0.61,77.09295880253072
Aboabo-Sonko,5.9911041,-0.504832,252.0,306.0,WorldPop_2020,village/town/hamlet,Suhum Hospital,Hospital,6.0380137,-0.4446668,8.45,0.63,24.283109771507466
Aboabogya,6.5483704,-2.2732469,197.0,376.0,WorldPop_2020,village/town/hamlet,DAKS Medical Center,Hospital,6.4566489,-2.3018646,10.68,0.53,46.77428211717059
Aboabogya,6.8405314,-1.6102758,306.0,413.0,WorldPop_2020,village/town/hamlet,Ashan,Hospital,6.8431504,-1.6487814,4.26,0.53,34.30639480495199
Aboabokese,6.5933115,-1.624158,227.0,4178.0,WorldPop_2020,village/town/hamlet,Genak Pharmacy,Pharmacy,6.5890471,-1.6249104,0.48,0.81,57.42129706189061
Aboaboso,6.6396071,-2.5488335,227.0,480.0,WorldPop_2020,village/town/hamlet,Akrodie Health Centre,Hospital,6.6950068,-2.5569091,6.22,0.53,51.10392289911248
Aboabota,6.6201899,-1.6444087,248.0,9783.0,WorldPop_2020,village/town/hamlet,Gary Marvin Memorial Hospital,Hospital,6.604927,-1.6603731,2.45,0.53,55.90974571707946
