Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km,Is_Rural,Hub_ID,Distance_Hub_km,Hub_Latitude,Hub_Longitude,Covered
Aboabo Odumase,5.9955856,-0.3992093,129.0,624.0,WorldPop_2020,village/town/hamlet,Suhum Hospital,Hospital,6.0380137,-0.4446668,6.89,0.63,23.4873380765636,True,13,36.51,6.314441660273973,-0.4781223835616439,True
Aboabo Tetekaso,6.5689859,-1.9049066,268.0,1144.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.6599097,-1.8423071,12.25,0.61,77.09295880253072,True,8,39.5,6.714017028571429,-1.578396487755102,True
Aboabo-Sonko,5.9911041,-0.504832,252.0,306.0,WorldPop_2020,village/town/hamlet,Suhum Hospital,Hospital,6.0380137,-0.4446668,8.45,0.63,24.283109771507466,True,13,36.07,6.314441660273973,-0.4781223835616439,True
Aboabogya,6.5483704,-2.2732469,197.0,376.0,WorldPop_2020,village/town/hamlet,DAKS Medical Center,Hospital,6.4566489,-2.3018646,10.68,0.53,46.77428211717059,True,12,52.25,6.964500993939394,-2.4931057818181817,True
Aboabogya,6.8405314,-1.6102758,306.0,413.0,WorldPop_2020,village/town/hamlet,Ashan,Hospital,6.8431504,-1.6487814,4.26,0.53,34.30639480495199,True,8,14.5,6.714017028571429,-1.578396487755102,True
Aboabokese,6.5933115,-1.624158,227.0,4178.0,WorldPop_2020,village/town/hamlet,Genak Pharmacy,Pharmacy,6.5890471,-1.6249104,0.48,0.81,57.42129706189061,True,8,14.34,6.714017028571429,-1.578396487755102,True
Aboaboso,6.6396071,-2.5488335,227.0,480.0,WorldPop_2020,village/town/hamlet,Akrodie Health Centre,Hospital,6.6950068,-2.5569091,6.22,0.53,51.10392289911248,True,12,36.65,6.964500993939394,-2.4931057818181817,True
Aboabota,6.6201899,-1.6444087,248.0,9783.0,WorldPop_2020,village/town/hamlet,Gary Marvin Memorial Hospital,Hospital,6.604927,-1.6603731,2.45,0.53,55.90974571707946,True,8,12.73,6.714017028571429,-1.578396487755102,True
Aboade,4.8946087,-1.9392318,31.0,4241.0,WorldPop_2020,village/town/hamlet,Gemar Hospital,Clinic,4.8904665,-1.9548466,1.79,0.81,154.65484560548438,True,2,57.95,5.250318833333333,-1.5568655866666665,True
Aboadze,4.972723,-1.650084,6.0,17233.0,WorldPop_2020,village/town/hamlet,Aboadze Clinic,Clinic,4.9733344,-1.6500323,0.07,0.53,162.57230689235112,True,2,32.55,5.250318833333333,-1.5568655866666665,True
