Village,Latitude,Longitude,Population,Place_Type,Hub_ID,Dist_hub_km,Covered,Operateur
Jeji Bonglo,8.9075233,-0.2263523,940.0,village/town/hamlet,-1,-1.0,False,Aucun
Jello,9.2761275,-0.8344476,224.0,village/town/hamlet,0,12.19,True,MASA
Jema,7.898678,-1.769662,3661.0,village/town/hamlet,12,7.76,True,MASA
Jema Nkwanta,7.884384,-1.7746601,1852.0,village/town/hamlet,12,6.08,True,MASA
Jenini,8.1179884,-2.554619,909.0,village/town/hamlet,-1,-1.0,False,Aucun
Jenjemireja,7.6362127,-2.7262763,2336.0,village/town/hamlet,16,8.57,True,MASA
Jensue,5.8407436,-2.8447694,585.0,village/town/hamlet,28,55.02,True,Zipline
Jentilpe,9.2430357,-2.3498377,579.0,village/town/hamlet,-1,-1.0,False,Aucun
Jenwa,8.0733029,-0.0801963,361.0,village/town/hamlet,30,31.5,True,Zipline
Jerba,8.6696147,-0.0608237,360.0,village/town/hamlet,-1,-1.0,False,Aucun
Jericho,5.6936385,-0.0397775,34087.0,neighbourhood,25,72.28,True,Zipline
Jerusalem,5.9345089,0.3784463,426.0,village/town/hamlet,29,66.06,True,Zipline
Jerusalem,6.6283141,-2.3373528,275.0,village/town/hamlet,28,52.22,True,Zipline
Jerusalem,6.9300587,-2.7751851,309.0,village/town/hamlet,-1,-1.0,False,Aucun
Jerusalem,6.9910757,-2.9895233,543.0,village/town/hamlet,23,20.96,True,MASA
Jerusalem,7.5693682,-1.6273445,879.0,village/town/hamlet,26,63.16,True,Zipline
Jetiase,7.0342606,-1.3736811,550.0,village/town/hamlet,26,2.6,True,Zipline
Jetini,10.5385566,-0.1152277,446.0,village/town/hamlet,27,78.22,True,Zipline
Jeyiri,9.6406564,-2.6436696,685.0,village/town/hamlet,-1,-1.0,False,Aucun
Jilikon,9.3511765,-2.3791191,414.0,village/town/hamlet,-1,-1.0,False,Aucun
Jimam,8.5927998,0.1016894,1051.0,village/town/hamlet,13,25.71,True,MASA
Jimbale,10.2981314,0.0991787,122.0,village/town/hamlet,22,12.2,True,MASA
Jimbale,10.4633204,0.013216,2086.0,village/town/hamlet,-1,-1.0,False,Aucun
Jimle,9.401295,-0.4804457,1778.0,village/town/hamlet,-1,-1.0,False,Aucun
Jingu,10.0865861,-2.5740226,726.0,village/town/hamlet,7,5.44,True,MASA
Jinijini,7.444516,-2.650133,9816.0,village/town/hamlet,16,21.7,True,MASA
Jinkpan,10.0208361,-2.4542431,467.0,village/town/hamlet,7,9.91,True,MASA
Jinwol,10.4524001,-0.0591749,969.0,village/town/hamlet,-1,-1.0,False,Aucun
Jiramoape,9.2103995,-1.0707442,613.0,village/town/hamlet,-1,-1.0,False,Aucun
Jirapa,10.5366328,-2.7008646,91279.0,village/town/hamlet,19,22.47,True,MASA
Jisonayili,9.452205,-0.8567941,11473.0,suburb,0,8.89,True,MASA
Jman,8.6328181,0.1358283,650.0,village/town/hamlet,13,24.81,True,MASA
Joali,8.7047166,0.159321,2336.0,village/town/hamlet,13,28.77,True,MASA
Jogboi,8.1980857,-2.0578744,414.0,village/town/hamlet,-1,-1.0,False,Aucun
Johnson Anane,6.4969865,-2.9440185,133.0,village/town/hamlet,28,61.69,True,Zipline
Johnsonkrom,7.3262269,-2.2084451,158.0,village/town/hamlet,5,17.89,True,MASA
Jolereteng,9.8833959,-2.4838758,254.0,village/town/hamlet,7,19.69,True,MASA
Joma,5.6060024,-0.3413701,6452.0,village/town/hamlet,25,67.36,True,Zipline
Jomoro,5.7596966,-2.5912076,369.0,village/town/hamlet,28,48.42,True,Zipline
